words,sentiment_coeff
ukraine,-1.1614358538840601
war,-1.2010301763221694
s,-1.1018236576228315
russia,-1.114654325321262
russian,1.0988100333974071
people,-1.1604713095130583
putin,-1.1812006682284928
don_t,-1.1031956538245429
amp,-1.119450718427969
win,-1.1386905994409757
support,-1.1610045656596488
nato,-1.1140525013024063
want,-1.1730967779973462
ukrainian,1.0934330905718
end,-1.1716199987091847
like,-1.1448209940412368
think,1.1105821529007207
country,-1.1922941554805992
start,-1.1540757133997652
stop,-1.1736951039548322
know,-1.1229703686086283
go,-1.1693342991107785
need,-1.0978808257524821
say,-1.125224410639343
t,1.0947453004080003
year,-1.1334218971153733
fight,-1.1059830577020364
time,-1.0949776000714435
world,-1.1665911579744683
attack,1.1344953759161658
lose,-1.0950481991856524
bakhmut,1.213718458546554
day,1.0784486842773182
zelensky,-1.1611917760295167
weapon,-1.0651639748978172
help,-1.0982349438331747
m,1.0972995427345362
russians,1.0838171677163067
trump,-1.1931441047976155
way,-1.132762479236094
right,-1.145634564820404
come,-1.1145959095151745
west,-1.102702426580816
force,1.1905202122032688
get,-1.0947884599635158
peace,-1.1863239221334625
military,1.090533109025346
try,-1.0972341253068072
invade,-1.1742621059222345
good,-1.1077719289297219
mean,-1.0809037138805555
thing,-1.094595536642551
war_crime,-1.11379005715961
biden,-1.1718367830365632
uk,-1.0994872807317035
doesn_t,-1.0998175633856913
give,-1.1153412135711387
happen,-1.129535617711293
leave,-1.1791480811331727
usa,-1.1558221941399571
kill,-1.114718078148489
money,-1.1423583572543616
send,-1.097308694423072
didn_t,-1.119218591911591
china,-1.1049785884094332
europe,-1.1663539984032614
use,1.1552308781683194
destroy,-1.0654257390629847
continue,-1.0876391626114723
point,1.1377670181357673
germany,-1.0891860512891194
eu,-1.1259061545302855
proxy_war,-1.2192405228717027
tank,1.1676246444768674
talk,-1.0890388292982813
take,-1.079263948239485
tell,-1.1192541568590895
look,-1.095332952470086
yes,1.1167218479851104
soldier,1.0876724773300224
isn_t,-1.141752222273253
news,-1.0524305202967836
area,1.2644854545359532
long,-1.0938596853503046
video,1.1504270833931007
believe,-1.1172519526834555
today,1.089087137099141
die,-1.0945511497057414
state,-1.124032881795229
live,-1.099481026478447
bad,-1.1109213971261804
invasion,-1.1045575926262017
government,-1.1161739833034332
call,-1.1143680054529526
work,1.0906545794250213
see,1.1233166534391124
man,-1.0677624806500845
make,-1.0787468350332503
western,-1.0730631114161528
ask,-1.102193873943634
claim,1.1203169281897474
president,-1.1724355710868075
let,-1.1658945290296834
actually,-1.1039867793404639
new,1.0653157160252258
drone,1.206997673468801
war_criminal,-1.11972550500969
army,1.1022058168696607
d,-1.0768363505068952
conflict,-1.1083654248547745
enemy,1.2070502801166803
nazi,-1.173600172299415
lot,1.112251774736004
report,1.1357230715684443
well,1.1141146669376845
fact,-1.1209656435347002
big,-1.1027470666385584
guy,-1.0776535841753447
america,-1.200696928694959
understand,-1.0806928560807667
great,1.07819640327238
unit,1.2412364365802162
reason,-1.12876599502077
allow,-1.0784644104679522
change,1.1073373437151333
begin,-1.0747217002185374
lie,-1.1531277520500112
cause,-1.1100714701465424
ll,-1.119915155852193
russian_soldier,1.1244919120545196
plan,-1.051940059876471
fire,1.179610617885047
probably,1.0861932657427296
position,1.1418685104973807
issue,1.0611934912023349
wagner,1.1782052177959494
ve,-1.0861183933944718
post,-1.0648306163807695
border,-1.0974132479788088
run,-1.0700451897311256
american,-1.193358360269039
propaganda,-1.0962961421461854
include,1.1100766639290873
month,1.0903456839679482
sure,1.0805242553087584
pay,-1.1736023066469006
find,1.0872742475229555
defend,-1.100356873377427
bring,-1.0940196321450597
afu_repulsed,1.258031749709015
wouldn_t,-1.1144399703609955
problem,1.0754618245677001
troop,1.1716698613267895
follow,1.1066658620774268
target,1.1837527625503523
child,-1.0771070449287592
missile,1.0867713069089162
arm,-1.1027998017168803
show,1.0893207447362578
base,1.2004585789123485
hope,-1.0959227597210899
anti,-1.0943092961573744
life,-1.1259678433063713
territory,-1.062127353601115
defeat,-1.1041664880479907
attack_area,1.2546338632196328
maybe,-1.0986186134917406
control,1.0777207558989155
close,1.1198398389522324
provide,1.124865269371641
turn,-1.0860329840574714
nation,-1.166907147633006
lead,-1.0642311867552945
supply,1.1196050947828842
true,-1.0924506866199928
hold,1.0482774644486428
soon,1.088539332976186
agree,-1.1496616162918656
wrong,1.0555911932436732
thank,-1.0923293419147908
strike,1.1507598948168967
fund,-1.1553846617977013
result,1.0929226581638969
aid,-1.1183848664102567
bomb,-1.0627916816777385
push,-1.089582971667475
line,1.1368967058875545
eurovision,-1.086914862571706
etc,-1.0578092924531446
stand,-1.12853182954635
question,-1.068401088346215
power,-1.0973134406379252
land,-1.124918474303125
read,1.0718622768283472
important,1.1024938224348722
real,-1.0744597485618554
far,1.084893397317215
love,-1.1811327764249377
situation,1.118525975769861
instead,1.0641296036067076
likely,1.1708585956818152
artillery,1.2563704610540098
stupid,-1.1408930588857635
billion,-1.1466100782741835
ua,1.1794258375055067
hit,1.138583882149369
civil_war,-1.1216557943549625
offensive,1.1418535139016932
leader,-1.123517209236608
israel,-1.109815445252687
speak,-1.0835878515640662
let_s,-1.0985721976011589
assault,1.1957410458101645
case,1.0909139851825862
iraq,-1.0910276164128354
genocide,-1.119033028293343
place,1.0825655956407183
fail,1.060670936577138
commit,-1.0779500292364657
group,1.143858899200662
old,1.0738029258809811
different,1.091012954100864
death,-1.136640923045119
remember,-1.0948767753035937
loss,1.1108433742432922
nuclear,-1.106212897900084
have,1.0941290173557403
victory,-1.086838382021812
side,-1.0887804836974626
consider,-1.0619754652502642
wasn_t,1.05955577693075
effort,1.0464399639392807
video_footage,1.1416522325716718
update,1.1840886937622495
home,-1.1126870898772585
u_s,-1.1202127610658916
vote,-1.1648504244531794
city,1.0489237735064045
interesting,1.1489739530614203
matter,-1.113309766591053
large,1.1583343604761231
moment,1.1065613484956656
watch,-1.114863475940012
civilian,1.0600997606038696
care,-1.1202698704704988
little,-1.0742603562332387
clear,1.1071380028326039
lol,-1.167111612066028
ww,-1.1138848321616943
possible,1.1480056579847653
join,-1.0919204118101729
information,1.1630180712824263
cover,1.150814288333272
kyiv,1.0742313326741941
number,1.1496434668241209
defense,1.1218629320998488
crimea,-1.0693854762429633
aggression,-1.1022939701628245
word,1.064541120599111
brigade,1.2136251311507766
footage,1.2464403480448385
break,-1.0815697774942596
course,1.0690537558715771
political,-1.13252758749393
moscow,-1.0738083165920536
wage,-1.1038648216414522
face,-1.0535311700945449
week,1.1602116851946767
belarus,1.03335231761385
hour,-1.0548716804570082
able,1.0591845700614235
zelenskyy,-1.116342898852809
decide,1.1036526654635075
twitter,1.0651991014210462
guess,-1.1012212701166337
hear,1.066094951247677
capture,1.239715625252298
order,-1.0593146027822582
general,1.1245733506217472
stuff,1.1065242590244548
afu,1.205761463114714
expect,1.0604007360170677
shoot,1.1133824806109367
fuck,-1.1604788921805096
simply,-1.0939105361182022
opinion,-1.0872442501500161
forget,-1.123167656099282
operation,1.1130811357281014
late,1.0811174812880255
involve,-1.0842026297549805
economy,-1.0845696699354088
family,-1.113961309381613
keep,-1.0587457556185893
blame,-1.162441327259929
exactly,-1.0882122494939894
train,1.1727356269465972
corrupt,-1.2301443538159054
u,-1.0778396921528617
idea,-1.070221805136464
history,-1.1187454945851578
democracy,-1.153035179501474
move,1.143727006336038
kherson,1.2076917594473613
cost,-1.0756236854445744
americans,-1.1335557419251538
pro,-1.0521437011052734
evil,-1.2125846337587038
share,1.0783569131765
single,1.1043683653726202
create,-1.062818115170787
despite,1.1101395759319534
th,1.1004958544839056
away,1.0976451498027988
correct,1.1091777876737012
citizen,-1.1750516900712062
battle,1.1152412241867529
deal,-1.1331204403707285
yeah,-1.096176396951128
donbas,-1.0794588485892858
ru,1.093751155515151
afghanistan,-1.1127925923951019
eastern,-1.0744838856955603
look_like,1.1154250481954515
hard,1.0917985387504598
wait,1.061900434013442
oh,-1.1478152103385153
european,-1.0794700146241214
ground,1.1104396070343334
future,-1.0916157327506053
k,1.0885188644490529
remain,1.1040905519128488
account,1.0711396167789724
